Nome	populacao_total	populacao_homens	populacao_mulheres
Aeroporto	1170	584	586
Agua_Negra	8553	4265	4288
Aguas_Lindas	17520	8639	8881
Aguas_Negras	6890	3382	3508
Agulha	19712	9517	10156
Ariramba	1942	951	991
Aura	1827	918	909
Baia_do_Sol	2414	1247	1167
Barreiro	26003	12700	13303
Batista_Campos	19136	8265	10871
Bengui	29379	14017	15362
Bonfim	776	410	366
Brasilia	6019	2995	3024
Cabanagem	27781	13501	14280
Campina	6156	2692	3464
Campina_de_Icoaraci	26722	12882	13840
Canudos	13804	6241	7563
Carananduba	5445	2730	2715
Caruara	794	417	377
Castanheira	24424	11512	12912
Chapeu_Virado	1159	580	579
Cidade_Velha	12128	5535	6593
Condor	42758	20165	22593
Coqueiro	51776	24474	27302
Cremacao	31264	14327	16937
Cruzeiro	11644	5611	6033
Curio-Utinga	16642	7830	8812
Farol	851	420	431
Fatima	12385	5691	6694
Guama	94610	4498	49612
Guanabara	1588	767	821
Itaiteua	1939	966	973
Jurunas	64478	30380	34098
Mangueirao	36224	17202	19022
Mangueiras	2851	1414	1737
Maracacuera	13681	6844	6837
Maracaja	3345	1647	1698
Maracangalha	30534	14635	15899
Marahu	132	72	60
Marambaia	66708	31059	35649
Marco	65844	29894	35950
Miramar	515	256	259
Terra_Firme	61439	29518	31921
Murubira	1519	786	733
Natal_do_Murubira	1098	533	565
Nazare	20504	8809	11695
Paracuri	9934	4946	4988
Paraiso	315	157	158
Parque_Guajara	34778	17074	17704
Parque_Verde	39126	18599	20527
Pedreira	69608	31923	37685
Ponta_Grossa	13245	6295	6950
Porto_Arthur	283	143	140
Praia_Grande	748	376	372
Pratinha	22589	11107	1482
Reduto	6373	2742	3631
Sacramenta	44413	20984	23429
Sao_Bras	19936	8707	11229
Sao_Clemente	7714	3825	3886
Sao_Francisco	2438	1204	1234
Sao_Joao_do_Outeiro	12134	6066	6068
Souza	13190	6093	7097
Sucurijuquara	1074	538	536
Tapana	66669	32165	34504
Telegrafo	42953	20200	22752
Tenone	30429	14799	15630
Umarizal	30090	13257	16833
Una	6724	3262	3462
Universitario	2557	1275	1282
Val-de-Caes	7032	3331	3701
Vila	3040	1455	1585
