id	nome	populacao_total	populacao_homens	populacao_mulheres
1000	Aeroporto	1170	584	586
1001	Agua_Negra	8553	4265	4288
1002	Aguas_Lindas	17520	8639	8881
1003	Aguas_Negras	6890	3382	3508
1004	Agulha	19712	9517	10156
1005	Ariramba	1942	951	991
1006	Aura	1827	918	909
1007	Baia_do_Sol	2414	1247	1167
1008	Barreiro	26003	12700	13303
1009	Batista_Campos	19136	8265	10871
1010	Bengui	29379	14017	15362
1011	Bonfim	776	410	366
1012	Brasilia	6019	2995	3024
1013	Cabanagem	27781	13501	14280
1014	Campina	6156	2692	3464
1015	Campina_de_Icoaraci	26722	12882	13840
1016	Canudos	13804	6241	7563
1017	Carananduba	5445	2730	2715
1018	Caruara	794	417	377
1019	Castanheira	24424	11512	12912
1020	Chapeu_Virado	1159	580	579
1021	Cidade_Velha	12128	5535	6593
1022	Condor	42758	20165	22593
1023	Coqueiro	51776	24474	27302
1024	Cremacao	31264	14327	16937
1025	Cruzeiro	11644	5611	6033
1026	Curio-Utinga	16642	7830	8812
1027	Farol	851	420	431
1028	Fatima	12385	5691	6694
1029	Guama	94610	4498	49612
1030	Guanabara	1588	767	821
1031	Itaiteua	1939	966	973
1032	Jurunas	64478	30380	34098
1033	Mangueirao	36224	17202	19022
1034	Mangueiras	2851	1414	1737
1035	Maracacuera	13681	6844	6837
1036	Maracaja	3345	1647	1698
1037	Maracangalha	30534	14635	15899
1038	Marahu	132	72	60
1039	Marambaia	66708	31059	35649
1040	Marco	65844	29894	35950
1041	Miramar	515	256	259
1042	Terra_Firme	61439	29518	31921
1043	Murubira	1519	786	733
1044	Natal_do_Murubira	1098	533	565
1045	Nazare	20504	8809	11695
1046	Paracuri	9934	4946	4988
1047	Paraiso	315	157	158
1048	Parque_Guajara	34778	17074	17704
1049	Parque_Verde	39126	18599	20527
1050	Pedreira	69608	31923	37685
1051	Ponta_Grossa	13245	6295	6950
1052	Porto_Arthur	283	143	140
1053	Praia_Grande	748	376	372
1054	Pratinha	22589	11107	1482
1055	Reduto	6373	2742	3631
1056	Sacramenta	44413	20984	23429
1057	Sao_Bras	19936	8707	11229
1058	Sao_Clemente	7714	3825	3886
1059	Sao_Francisco	2438	1204	1234
1060	Sao_Joao_do_Outeiro	12134	6066	6068
1061	Souza	13190	6093	7097
1062	Sucurijuquara	1074	538	536
1063	Tapana	66669	32165	34504
1064	Telegrafo	42953	20200	22752
1065	Tenone	30429	14799	15630
1066	Umarizal	30090	13257	16833
1067	Una	6724	3262	3462
1068	Universitario	2557	1275	1282
1069	Val-de-Caes	7032	3331	3701
1070	Vila	3040	1455	1585
